index,mese,giorno,ora,rain,temp,radiaz
216,1,9,24.00,0.0,-13.9,0
217,1,10,1.00,0.0,-13.9,0
218,1,10,2.00,0.0,-12.9,0
219,1,10,3.00,0.0,-11.8,0
220,1,10,4.00,0.0,-11.5,0
221,1,10,5.00,0.0,-10.6,0
222,1,10,6.00,0.0,-10.0,0
223,1,10,7.00,0.0,-9.5,0
224,1,10,8.00,0.0,-9.2,15
225,1,10,9.00,0.0,-9.0,36
226,1,10,10.00,0.0,-8.6,57
227,1,10,11.00,0.0,-8.6,76
228,1,10,12.00,0.0,-7.9,97
229,1,10,13.00,0.0,-7.4,101
230,1,10,14.00,0.0,-7.1,95
231,1,10,15.00,0.0,-7.1,60
232,1,10,16.00,0.0,-7.4,9
233,1,10,17.00,0.0,-7.7,0
234,1,10,18.00,0.0,-8.2,0
235,1,10,19.00,0.0,-8.5,0
236,1,10,20.00,0.0,-8.5,0
237,1,10,21.00,0.0,-8.6,0
238,1,10,22.00,0.0,-8.1,0
239,1,10,23.00,0.0,-7.8,0
240,1,10,24.00,0.0,-7.8,0
241,1,11,1.00,0.0,-7.8,0
242,1,11,2.00,0.0,-7.6,0
243,1,11,3.00,0.0,-7.7,0
244,1,11,4.00,0.0,-8.3,0
245,1,11,5.00,0.0,-10.1,0
246,1,11,6.00,0.0,-11.2,0
247,1,11,7.00,0.0,-12.2,0
248,1,11,8.00,0.0,-11.4,32
249,1,11,9.00,0.0,-8.7,420
250,1,11,10.00,0.0,-7.0,705
251,1,11,11.00,0.0,-6.3,445
252,1,11,12.00,0.0,-7.3,745
253,1,11,13.00,0.0,-6.0,748
254,1,11,14.00,0.0,-6.7,631
255,1,11,15.00,0.0,-7.7,46
256,1,11,16.00,0.0,-9.1,9
257,1,11,17.00,0.0,-11.1,0
258,1,11,18.00,0.0,-12.6,0
259,1,11,19.00,0.0,-12.6,0
260,1,11,20.00,0.0,-13.4,0
261,1,11,21.00,0.0,-13.6,0
262,1,11,22.00,0.0,-14.1,0
263,1,11,23.00,0.0,-15.2,0
264,1,11,24.00,0.0,-15.6,0
265,1,12,1.00,0.0,-15.4,0
266,1,12,2.00,0.0,-15.2,0
267,1,12,3.00,0.0,-16.3,0
268,1,12,4.00,0.0,-16.3,0
269,1,12,5.00,0.0,-16.3,0
270,1,12,6.00,0.0,-16.3,0
271,1,12,7.00,0.0,-16.1,6
272,1,12,8.00,0.0,-13.8,93
273,1,12,9.00,0.0,-10.4,429
274,1,12,10.00,0.0,-9.1,293
275,1,12,11.00,0.0,-7.3,581
276,1,12,12.00,0.0,-5.7,369
277,1,12,13.00,0.0,-5.2,208
278,1,12,14.00,0.0,-4.4,154
279,1,12,15.00,0.0,-5.0,94
280,1,12,16.00,0.0,-8.2,19
281,1,12,17.00,0.0,-7.3,0
282,1,12,18.00,0.0,-9.2,0
283,1,12,19.00,0.0,-9.1,0
284,1,12,20.00,0.0,-9.8,0
285,1,12,21.00,0.0,-10.5,0
286,1,12,22.00,0.0,-9.9,0
287,1,12,23.00,0.0,-10.8,0
288,1,12,24.00,0.0,-11.1,0
289,1,13,1.00,0.0,-11.2,0
290,1,13,2.00,0.0,-11.6,0
291,1,13,3.00,0.0,-11.0,0
292,1,13,4.00,0.0,-12.7,0
293,1,13,5.00,0.0,-12.1,0
294,1,13,6.00,0.0,-11.8,0
295,1,13,7.00,0.0,-12.1,2
296,1,13,8.00,0.0,-11.8,38
297,1,13,9.00,0.0,-8.7,468
298,1,13,10.00,0.0,-5.6,890
299,1,13,11.00,0.0,-1.8,1595
300,1,13,12.00,0.0,0.0,1684
301,1,13,13.00,0.0,0.5,1497
302,1,13,14.00,0.0,-1.4,942
303,1,13,15.00,0.0,-3.5,86
